pmid	title	authors
10027986	Differential expression of 10 sigma factor genes in Mycobacterium tuberculosis	Manganelli R; Dubnau E; Tyagi S; Kramer FR; Smith I
10080924	Mycobacterium tuberculosis KatG is a peroxynitritase	Wengenack NL; Jensen MP; Rusnak F; Stern MK
10089160	In vitro evidence of two-component system phosphorylation between the Mycobacterium tuberculosis TrcR/TrcS proteins	Haydel SE; Dunlap NE; Benjamin WH Jr
10089161	Cloning, expression and significance of MPT53 for identification of secreted proteins of Mycobacterium tuberculosis	Wiker HG; Michell SL; Hewinson RG; Spierings E; Nagai S; Harboe M
10200974	Inactivation of the antigen 85C gene profoundly affects the mycolate content and alters the permeability of the Mycobacterium tuberculosis cell envelope	Jackson M; Raynaud C; Lanéelle MA; Guilhot C; Laurent-Winter C; Ensergueix D; Gicquel B; Daffé M
10336454	Crystal structure of the Mycobacterium tuberculosis enoyl-ACP reductase, InhA, in complex with NAD+ and a C16 fatty acyl substrate	Rozwarski DA; Vilchèze C; Sugantino M; Bittman R; Sacchettini JC
10360352	The two types of 3-dehydroquinase have distinct structures but catalyze the same overall reaction	Gourley DG; Shrive AK; Polikarpov I; Krell T; Coggins JR; Hawkins AR; Isaacs NW; Sawyer L
10375643	Cloning and characterization of a bifunctional RelA/SpoT homologue from Mycobacterium tuberculosis	Avarbock D; Salem J; Li LS; Wang ZM; Rubin H
10491108	Cloning, over-expression and biochemical characterization of the single-stranded DNA binding protein from Mycobacterium tuberculosis	Purnapatre K; Varshney U
10510241	Identification of microbial dimethylarginine dimethylaminohydrolase enzymes	Santa Maria J; Vallance P; Charles IG; Leiper JM
10531370	The pimB gene of Mycobacterium tuberculosis encodes a mannosyltransferase involved in lipoarabinomannan biosynthesis	Schaeffer ML; Khoo KH; Besra GS; Chatterjee D; Brennan PJ; Belisle JT; Inamine JM
10542234	Decreased capacity of recombinant 45/47-kDa molecules (Apa) of Mycobacterium tuberculosis to stimulate T lymphocyte responses related to changes in their mannosylation pattern	Horn C; Namane A; Pescher P; Rivière M; Romain F; Puzo G; Bârzu O; Marchal G
10564470	Identification of a virulence gene cluster of Mycobacterium tuberculosis by signature-tagged transposon mutagenesis	Camacho LR; Ensergueix D; Perez E; Gicquel B; Guilhot C
10573420	Complex lipid determines tissue-specific replication of Mycobacterium tuberculosis in mice	Cox JS; Chen B; McNeil M; Jacobs WR Jr
10593963	Molecular cloning, sequencing, and expression of the gene encoding alkaline ceramidase from Pseudomonas aeruginosa. Cloning of a ceramidase homologue from Mycobacterium tuberculosis	Okino N; Ichinose S; Omori A; Imayama S; Nakamura T; Ito M
10623528	Three-dimensional structure of M. tuberculosis dihydrofolate reductase reveals opportunities for the design of novel tuberculosis drugs	Li R; Sirawaraporn R; Chitnumsub P; Sirawaraporn W; Wooden J; Athappilly F; Turley S; Hol WG
10636862	A cooperative oxygen binding hemoglobin from Mycobacterium tuberculosis. Stabilization of heme ligands by a distal tyrosine residue	Yeh SR; Couture M; Ouellet Y; Guertin M; Rousseau DL
10645441	Identification of an immunogenic histone-like protein (HLPMt) of Mycobacterium tuberculosis	Prabhakar S; Annapurna PS; Jain NK; Dey AB; Tyagi JS; Prasad HK
10655617	Crystal structure of the secreted form of antigen 85C reveals potential targets for mycobacterial drugs and vaccines	Ronning DR; Klabunde T; Besra GS; Vissa VD; Belisle JT; Sacchettini JC
10747933	Thiolactomycin and related analogues as novel anti-mycobacterial agents targeting KasA and KasB condensing enzymes in Mycobacterium tuberculosis	Kremer L; Douglas JD; Baulard AR; Morehouse C; Guy MR; Alland D; Dover LG; Lakey JH; Jacobs WR Jr; Brennan PJ; Minnikin DE; Besra GS
10766746	The AhpC and AhpD antioxidant defense system of Mycobacterium tuberculosis	Hillas PJ; del Alba FS; Oyarzabal J; Wilks A; Ortiz De Montellano PR
10812229	Isolation, purification and immunological characterization of novel low molecular weight protein antigen CFP 6 from culture filtrate of M. tuberculosis	Bhaskar S; Khanna SP; Mukherjee R
10816587	Identification of a short (C15) chain Z-isoprenyl diphosphate synthase and a homologous long (C50) chain isoprenyl diphosphate synthase in Mycobacterium tuberculosis	Schulbach MC; Brennan PJ; Crick DC
10840036	Identification and substrate specificity of beta -ketoacyl (acyl carrier protein) synthase III (mtFabH) from Mycobacterium tuberculosis	Choi KH; Kremer L; Besra GS; Rock CO
10844652	Oxygenated mycolic acids are necessary for virulence of Mycobacterium tuberculosis in mice	Dubnau E; Chan J; Raynaud C; Mohan VP; Lanéelle MA; Yu K; Quémard A; Smith I; Daffé M
10869356	Activation of the pro-drug ethionamide is regulated in mycobacteria	Baulard AR; Betts JC; Engohang-Ndong J; Quan S; McAdam RA; Brennan PJ; Locht C; Besra GS
